date,value
2022-01-01,179.18
2022-01-02,181.17
2022-01-03,192.64
2022-01-04,192.44
2022-01-05,200.57
2022-01-06,203.67
2022-01-07,190.71
2022-01-08,192.5
2022-01-09,184.87
2022-01-10,185.51
2022-01-11,168.83
2022-01-12,178.02
2022-01-13,178.54
2022-01-14,192.37
2022-01-15,187.09
2022-01-16,210.13
2022-01-17,210.19
2022-01-18,200.59
2022-01-19,201.1
2022-01-20,203.67
2022-01-21,191.39
2022-01-22,191.93
2022-01-23,183.47
2022-01-24,189.71
2022-01-25,205.32
2022-01-26,195.66
2022-01-27,191.0
2022-01-28,192.03
2022-01-29,196.49
2022-01-30,207.21
2022-01-31,183.08
2022-02-01,193.82
2022-02-02,205.59
2022-02-03,182.93
2022-02-04,210.96
2022-02-05,189.77
2022-02-06,205.2
2022-02-07,199.75
2022-02-08,202.82
2022-02-09,187.54
2022-02-10,201.26
2022-02-11,196.86
2022-02-12,212.84
2022-02-13,195.83
2022-02-14,201.51
2022-02-15,199.11
2022-02-16,206.31
2022-02-17,214.83
2022-02-18,203.37
2022-02-19,208.05
2022-02-20,193.68
2022-02-21,205.06
2022-02-22,192.64
2022-02-23,196.2
2022-02-24,218.03
2022-02-25,205.16
2022-02-26,199.97
2022-02-27,206.87
2022-02-28,193.14
2022-03-01,224.76
2022-03-02,202.97
2022-03-03,210.81
2022-03-04,205.97
2022-03-05,208.36
2022-03-06,199.23
2022-03-07,206.52
2022-03-08,216.87
2022-03-09,204.19
2022-03-10,209.54
2022-03-11,229.4
2022-03-12,212.44
2022-03-13,203.17
2022-03-14,223.88
2022-03-15,221.25
2022-03-16,221.83
2022-03-17,216.34
2022-03-18,216.26
2022-03-19,227.97
2022-03-20,211.99
2022-03-21,224.91
2022-03-22,224.08
2022-03-23,223.54
2022-03-24,216.52
2022-03-25,213.66
2022-03-26,208.72
2022-03-27,208.16
2022-03-28,228.43
2022-03-29,209.51
2022-03-30,223.23
2022-03-31,215.16
2022-04-01,210.65
2022-04-02,229.56
2022-04-03,234.95
2022-04-04,200.09
2022-04-05,220.77
2022-04-06,226.02
2022-04-07,220.87
2022-04-08,243.53
2022-04-09,243.42
2022-04-10,224.8
2022-04-11,213.69
2022-04-12,212.81
2022-04-13,201.19
2022-04-14,233.57
2022-04-15,212.56
2022-04-16,229.21
2022-04-17,230.18
2022-04-18,218.03
2022-04-19,215.07
2022-04-20,222.47
2022-04-21,221.0
2022-04-22,234.36
2022-04-23,245.22
2022-04-24,227.49
2022-04-25,233.56
2022-04-26,212.79
2022-04-27,239.94
2022-04-28,250.41
2022-04-29,231.32
2022-04-30,216.97
2022-05-01,223.76
2022-05-02,215.38
2022-05-03,216.51
2022-05-04,218.75
2022-05-05,237.64
2022-05-06,220.38
2022-05-07,228.54
2022-05-08,219.44
2022-05-09,224.03
2022-05-10,211.17
2022-05-11,215.59
