date,value
2022-01-01,2.55
2022-01-02,2.49
2022-01-03,2.57
2022-01-04,2.66
2022-01-05,2.48
2022-01-06,2.48
2022-01-07,2.67
2022-01-08,2.59
2022-01-09,2.47
2022-01-10,2.57
2022-01-11,2.47
2022-01-12,2.47
2022-01-13,2.55
2022-01-14,2.33
2022-01-15,2.36
2022-01-16,2.48
2022-01-17,2.43
2022-01-18,2.57
2022-01-19,2.45
2022-01-20,2.4
2022-01-21,2.7
2022-01-22,2.53
2022-01-23,2.56
2022-01-24,2.42
2022-01-25,2.51
2022-01-26,2.58
2022-01-27,2.46
2022-01-28,2.62
2022-01-29,2.52
2022-01-30,2.56
2022-01-31,2.53
2022-02-01,2.79
2022-02-02,2.6
2022-02-03,2.51
2022-02-04,2.7
2022-02-05,2.5
2022-02-06,2.65
2022-02-07,2.44
2022-02-08,2.51
2022-02-09,2.67
2022-02-10,2.73
2022-02-11,2.68
2022-02-12,2.66
2022-02-13,2.64
2022-02-14,2.53
2022-02-15,2.62
2022-02-16,2.65
2022-02-17,2.81
2022-02-18,2.74
2022-02-19,2.54
2022-02-20,2.76
2022-02-21,2.69
2022-02-22,2.67
2022-02-23,2.81
2022-02-24,2.86
2022-02-25,2.86
2022-02-26,2.69
2022-02-27,2.75
2022-02-28,2.82
2022-03-01,2.89
2022-03-02,2.76
2022-03-03,2.79
2022-03-04,2.71
2022-03-05,2.71
2022-03-06,2.92
2022-03-07,2.98
2022-03-08,2.85
2022-03-09,2.96
2022-03-10,2.91
2022-03-11,2.82
2022-03-12,2.93
2022-03-13,3.05
2022-03-14,2.91
2022-03-15,3.07
2022-03-16,2.67
2022-03-17,3.02
2022-03-18,2.95
2022-03-19,2.93
2022-03-20,2.97
2022-03-21,2.78
2022-03-22,2.96
2022-03-23,3.03
2022-03-24,3.15
2022-03-25,2.96
2022-03-26,2.94
2022-03-27,2.98
2022-03-28,3.13
2022-03-29,3.08
2022-03-30,3.01
2022-03-31,3.12
2022-04-01,3.09
2022-04-02,3.19
2022-04-03,3.03
2022-04-04,3.07
2022-04-05,3.08
2022-04-06,2.98
2022-04-07,3.17
2022-04-08,3.17
2022-04-09,3.16
2022-04-10,3.14
2022-04-11,3.03
2022-04-12,3.14
2022-04-13,3.16
2022-04-14,3.12
2022-04-15,3.2
2022-04-16,3.26
2022-04-17,3.42
2022-04-18,3.26
2022-04-19,3.28
2022-04-20,3.25
2022-04-21,3.08
2022-04-22,3.27
2022-04-23,3.29
2022-04-24,3.54
2022-04-25,3.28
2022-04-26,3.34
2022-04-27,3.32
2022-04-28,3.21
2022-04-29,3.45
2022-04-30,3.42
2022-05-01,3.44
2022-05-02,3.27
2022-05-03,3.51
2022-05-04,3.24
2022-05-05,3.45
2022-05-06,3.62
2022-05-07,3.31
2022-05-08,3.36
2022-05-09,3.43
2022-05-10,3.38
2022-05-11,3.28
2022-05-12,3.45
2022-05-13,3.35
2022-05-14,3.51
2022-05-15,3.38
2022-05-16,3.63
2022-05-17,3.41
2022-05-18,3.46
2022-05-19,3.58
2022-05-20,3.38
2022-05-21,3.53
2022-05-22,3.65
2022-05-23,3.36
2022-05-24,3.55
2022-05-25,3.56
2022-05-26,3.62
2022-05-27,3.43
2022-05-28,3.42
2022-05-29,3.61
2022-05-30,3.6
2022-05-31,3.3
2022-06-01,3.31
2022-06-02,3.22
2022-06-03,3.31
2022-06-04,3.32
2022-06-05,3.23
2022-06-06,3.49
2022-06-07,3.36
2022-06-08,3.19
2022-06-09,3.38
2022-06-10,3.23
2022-06-11,3.41
2022-06-12,3.45
2022-06-13,3.25
2022-06-14,3.43
2022-06-15,3.38
2022-06-16,3.43
2022-06-17,3.54
2022-06-18,3.33
2022-06-19,3.28
2022-06-20,3.27
2022-06-21,3.28
2022-06-22,3.36
2022-06-23,3.4
2022-06-24,3.4
2022-06-25,3.45
2022-06-26,3.37
2022-06-27,3.52
2022-06-28,3.35
2022-06-29,3.65
2022-06-30,3.44
2022-07-01,3.3
2022-07-02,3.27
2022-07-03,3.43
2022-07-04,3.36
2022-07-05,3.46
2022-07-06,3.43
2022-07-07,3.38
2022-07-08,3.3
2022-07-09,3.23
2022-07-10,3.34
