date,value
2022-01-01,2.55
2022-01-02,2.49
2022-01-03,2.57
2022-01-04,2.66
2022-01-05,2.48
2022-01-06,2.48
2022-01-07,2.67
2022-01-08,2.59
2022-01-09,2.47
2022-01-10,2.57
2022-01-11,2.47
2022-01-12,2.47
2022-01-13,2.55
2022-01-14,2.33
2022-01-15,2.36
2022-01-16,2.48
2022-01-17,2.43
2022-01-18,2.57
2022-01-19,2.45
2022-01-20,2.4
2022-01-21,2.7
2022-01-22,2.53
2022-01-23,2.56
2022-01-24,2.42
2022-01-25,2.51
2022-01-26,2.58
2022-01-27,2.46
2022-01-28,2.62
2022-01-29,2.52
2022-01-30,2.56
2022-01-31,2.53
2022-02-01,2.79
2022-02-02,2.6
2022-02-03,2.51
2022-02-04,2.7
2022-02-05,2.5
2022-02-06,2.65
2022-02-07,2.44
2022-02-08,2.51
2022-02-09,2.67
2022-02-10,2.73
2022-02-11,2.68
2022-02-12,2.66
2022-02-13,2.64
2022-02-14,2.53
2022-02-15,2.62
2022-02-16,2.65
2022-02-17,2.81
2022-02-18,2.74
2022-02-19,2.54
2022-02-20,2.76
2022-02-21,2.69
2022-02-22,2.67
2022-02-23,2.81
2022-02-24,2.86
2022-02-25,2.86
2022-02-26,2.69
2022-02-27,2.75
2022-02-28,2.82
2022-03-01,2.89
2022-03-02,2.76
2022-03-03,2.79
2022-03-04,2.71
2022-03-05,2.71
2022-03-06,2.92
2022-03-07,2.98
2022-03-08,2.85
2022-03-09,2.96
2022-03-10,2.91
2022-03-11,2.82
2022-03-12,2.93
2022-03-13,3.05
2022-03-14,2.91
2022-03-15,3.07
2022-03-16,2.67
2022-03-17,3.02
2022-03-18,2.95
2022-03-19,2.93
2022-03-20,2.97
2022-03-21,2.78
2022-03-22,2.96
2022-03-23,3.03
2022-03-24,3.15
2022-03-25,2.96
2022-03-26,2.94
2022-03-27,2.98
2022-03-28,3.13
2022-03-29,3.08
2022-03-30,3.01
2022-03-31,3.12
2022-04-01,3.09
2022-04-02,3.19
2022-04-03,3.03
2022-04-04,3.07
2022-04-05,3.08
2022-04-06,2.98
2022-04-07,3.17
2022-04-08,3.17
2022-04-09,3.16
2022-04-10,3.14

