date,value
2022-01-01,58.3
2022-01-02,59.2
2022-01-03,57.5
2022-01-04,61.1
2022-01-05,59.6
2022-01-06,62.7
2022-01-07,61.7
2022-01-08,61.7
2022-01-09,61.0
2022-01-10,60.2
2022-01-11,60.8
2022-01-12,75.4
2022-01-13,63.1
2022-01-14,70.4
2022-01-15,61.5
2022-01-16,62.1
2022-01-17,53.9
2022-01-18,57.8
2022-01-19,59.5
2022-01-20,57.3
2022-01-21,57.0
2022-01-22,58.9
2022-01-23,61.4
2022-01-24,57.4
2022-01-25,60.3
2022-01-26,62.5
2022-01-27,56.1
2022-01-28,59.1
2022-01-29,59.3
2022-01-30,56.8
2022-01-31,57.4
2022-02-01,60.7
2022-02-02,57.1
2022-02-03,56.6
2022-02-04,61.3
2022-02-05,61.3
2022-02-06,56.6
2022-02-07,56.9
2022-02-08,55.0
2022-02-09,57.7
2022-02-10,62.2
2022-02-11,58.4
2022-02-12,54.0
2022-02-13,58.0
2022-02-14,59.1
2022-02-15,51.7
2022-02-16,52.9
2022-02-17,52.6
2022-02-18,54.3
2022-02-19,53.9
2022-02-20,53.2
2022-02-21,54.0
2022-02-22,54.1
2022-02-23,56.1
2022-02-24,65.4
2022-02-25,64.9
2022-02-26,52.7
2022-02-27,56.6
2022-02-28,56.5
2022-03-01,55.3
2022-03-02,49.6
2022-03-03,51.1
2022-03-04,54.0
2022-03-05,54.7
2022-03-06,54.4
2022-03-07,51.5
2022-03-08,52.1
2022-03-09,52.4
2022-03-10,52.4
2022-03-11,47.6
2022-03-12,50.9
2022-03-13,50.1
2022-03-14,51.3
2022-03-15,50.5
2022-03-16,47.4
2022-03-17,48.9
2022-03-18,50.3
2022-03-19,47.3
2022-03-20,55.2
2022-03-21,50.9
2022-03-22,49.4
2022-03-23,43.7
2022-03-24,48.4
2022-03-25,45.5
2022-03-26,45.7
2022-03-27,44.7
2022-03-28,48.8
2022-03-29,45.5
2022-03-30,45.1
2022-03-31,43.3
2022-04-01,45.7
2022-04-02,61.0
2022-04-03,42.0
2022-04-04,39.9
2022-04-05,47.6
2022-04-06,43.4
2022-04-07,42.3
2022-04-08,44.0
2022-04-09,43.7
2022-04-10,46.4
2022-04-11,48.5
2022-04-12,46.5
2022-04-13,41.7
2022-04-14,45.9
2022-04-15,44.1
2022-04-16,39.1
2022-04-17,43.5
2022-04-18,41.6
2022-04-19,43.7
2022-04-20,41.3
2022-04-21,43.2
2022-04-22,42.3
2022-04-23,43.6
2022-04-24,41.0
2022-04-25,42.9
2022-04-26,37.5
2022-04-27,35.8
2022-04-28,39.3
2022-04-29,43.8
2022-04-30,38.5
2022-05-01,36.5
2022-05-02,41.5
2022-05-03,34.7
2022-05-04,35.8
2022-05-05,42.2
2022-05-06,35.6
2022-05-07,33.2
2022-05-08,38.8
2022-05-09,39.4
2022-05-10,36.4
2022-05-11,38.3
2022-05-12,50.6
2022-05-13,31.2
2022-05-14,40.5
2022-05-15,31.0
2022-05-16,33.4
2022-05-17,39.7
2022-05-18,37.3
2022-05-19,47.9
2022-05-20,37.9
2022-05-21,34.2
2022-05-22,29.5
2022-05-23,35.6
2022-05-24,32.0
2022-05-25,35.5
2022-05-26,34.9
2022-05-27,34.0
2022-05-28,30.0
2022-05-29,34.1
2022-05-30,32.8
2022-05-31,29.8
2022-06-01,38.2
2022-06-02,35.0
2022-06-03,32.1
2022-06-04,34.9
2022-06-05,30.6
2022-06-06,31.4
2022-06-07,33.5
2022-06-08,30.7
2022-06-09,31.8
2022-06-10,34.3
2022-06-11,32.0
2022-06-12,29.1
2022-06-13,32.8
2022-06-14,30.9
2022-06-15,30.5
2022-06-16,46.8
2022-06-17,39.6
2022-06-18,33.6
2022-06-19,34.2
2022-06-20,31.6
2022-06-21,28.2
2022-06-22,38.6
2022-06-23,32.5
2022-06-24,31.4
2022-06-25,33.0
2022-06-26,31.6
2022-06-27,34.8
2022-06-28,34.0
2022-06-29,31.7
2022-06-30,25.0
2022-07-01,36.1
2022-07-02,29.1
2022-07-03,31.1
2022-07-04,31.5
2022-07-05,27.5
2022-07-06,29.9
2022-07-07,33.1
2022-07-08,30.0
2022-07-09,29.8
2022-07-10,32.7
2022-07-11,31.7
2022-07-12,29.4
2022-07-13,36.3
2022-07-14,26.5
2022-07-15,32.5
2022-07-16,34.0
2022-07-17,29.6
2022-07-18,26.5
2022-07-19,31.2
2022-07-20,28.1
2022-07-21,33.5
2022-07-22,37.1
2022-07-23,44.0
2022-07-24,28.1
2022-07-25,32.4
2022-07-26,30.3
2022-07-27,31.4
2022-07-28,35.6
2022-07-29,35.1
2022-07-30,34.7
2022-07-31,37.3
2022-08-01,28.6
2022-08-02,29.0
2022-08-03,36.8
2022-08-04,30.3
2022-08-05,32.9
2022-08-06,44.3
2022-08-07,36.0
2022-08-08,32.2
2022-08-09,37.0
2022-08-10,32.4
2022-08-11,34.8
2022-08-12,31.9
2022-08-13,37.9
2022-08-14,36.0
2022-08-15,44.2
2022-08-16,44.6
2022-08-17,29.3
2022-08-18,36.9
2022-08-19,36.4
2022-08-20,31.8
2022-08-21,50.7
2022-08-22,33.2
2022-08-23,36.6
2022-08-24,39.7
2022-08-25,51.2
2022-08-26,36.7
2022-08-27,39.7
2022-08-28,38.2
2022-08-29,36.2
2022-08-30,41.1
2022-08-31,36.3
2022-09-01,35.1
2022-09-02,44.5
2022-09-03,40.6
2022-09-04,40.2
2022-09-05,40.8
2022-09-06,37.7
