date,value
2022-01-01,-5.5
2022-01-02,-3.6
2022-01-03,2.7
2022-01-04,6.3
2022-01-05,0.6
2022-01-06,-4.8
2022-01-07,0.5
2022-01-08,-2.7
2022-01-09,-4.4
2022-01-10,5.6
2022-01-11,4.4
2022-01-12,7.2
2022-01-13,-1.6
2022-01-14,-1.0
2022-01-15,-3.6
2022-01-16,-8.0
2022-01-17,2.2
2022-01-18,-4.3
2022-01-19,7.4
2022-01-20,-7.4
2022-01-21,3.8
2022-01-22,3.5
2022-01-23,5.9
2022-01-24,1.6
2022-01-25,7.7
2022-01-26,1.8
2022-01-27,-0.6
2022-01-28,5.0
2022-01-29,0.6
2022-01-30,1.0
2022-01-31,5.6
2022-02-01,6.2
2022-02-02,6.2
2022-02-03,-0.7
2022-02-04,6.3
2022-02-05,5.4
2022-02-06,13.9
2022-02-07,0.5
2022-02-08,8.5
2022-02-09,-4.5
2022-02-10,7.3
2022-02-11,-4.3
2022-02-12,8.2
2022-02-13,1.5
2022-02-14,-5.6
2022-02-15,10.9
2022-02-16,5.0
2022-02-17,14.6
2022-02-18,13.3
2022-02-19,7.6
2022-02-20,7.0
2022-02-21,13.9
2022-02-22,9.9
2022-02-23,1.7
2022-02-24,8.1
2022-02-25,11.6
2022-02-26,7.2
2022-02-27,6.3
2022-02-28,13.1
2022-03-01,8.5
2022-03-02,8.3
2022-03-03,2.0
2022-03-04,9.2
2022-03-05,11.6
2022-03-06,13.4
2022-03-07,7.0
2022-03-08,9.0
2022-03-09,5.7
2022-03-10,1.9
2022-03-11,16.5
2022-03-12,11.5
2022-03-13,11.7
2022-03-14,12.5
2022-03-15,15.2
2022-03-16,-2.5
2022-03-17,15.6
2022-03-18,7.2
2022-03-19,15.7
2022-03-20,12.6
2022-03-21,14.3
2022-03-22,13.7
2022-03-23,21.8
2022-03-24,7.2
2022-03-25,19.8
2022-03-26,9.0
2022-03-27,20.9
2022-03-28,12.9
2022-03-29,16.5
2022-03-30,10.1
2022-03-31,10.9
2022-04-01,18.4
2022-04-02,24.3
2022-04-03,20.1
2022-04-04,16.8
2022-04-05,15.8
2022-04-06,18.7
2022-04-07,16.6
2022-04-08,20.5
2022-04-09,20.7
2022-04-10,9.8
2022-04-11,18.5
2022-04-12,22.2
2022-04-13,23.7
2022-04-14,29.4
2022-04-15,21.2
2022-04-16,27.2
2022-04-17,18.8
2022-04-18,22.1
2022-04-19,15.7
2022-04-20,19.0
2022-04-21,12.8
2022-04-22,23.2
2022-04-23,20.4
2022-04-24,27.9
2022-04-25,18.1
2022-04-26,24.7
2022-04-27,26.8
2022-04-28,24.9
2022-04-29,23.1
2022-04-30,22.2
2022-05-01,17.4
2022-05-02,13.2
2022-05-03,25.0
2022-05-04,22.2
2022-05-05,16.1
2022-05-06,25.0
2022-05-07,29.0
2022-05-08,22.3
2022-05-09,31.6
2022-05-10,32.7
2022-05-11,32.8
2022-05-12,21.7
2022-05-13,31.6
2022-05-14,23.9
2022-05-15,27.0
2022-05-16,30.9
2022-05-17,24.9
2022-05-18,28.3
2022-05-19,30.7
2022-05-20,27.3
2022-05-21,32.1
2022-05-22,35.6
2022-05-23,27.7
2022-05-24,20.4
2022-05-25,36.6
2022-05-26,33.3
2022-05-27,36.5
2022-05-28,20.4
2022-05-29,25.6
2022-05-30,33.3
2022-05-31,38.7
2022-06-01,27.7
2022-06-02,24.8
2022-06-03,27.9
2022-06-04,27.8
2022-06-05,33.3
2022-06-06,29.9
2022-06-07,37.4
2022-06-08,42.9
2022-06-09,37.7
2022-06-10,33.0
2022-06-11,24.3
2022-06-12,33.3
2022-06-13,35.0
2022-06-14,32.0
2022-06-15,28.7
2022-06-16,29.7
2022-06-17,33.8
2022-06-18,46.4
2022-06-19,31.7
2022-06-20,24.6
2022-06-21,23.8
2022-06-22,30.9
2022-06-23,35.2
2022-06-24,27.4
2022-06-25,33.8
2022-06-26,39.4
2022-06-27,30.1
2022-06-28,34.1
2022-06-29,39.7
2022-06-30,36.3
2022-07-01,32.6
2022-07-02,45.8
2022-07-03,45.6
2022-07-04,37.1
2022-07-05,29.6
2022-07-06,39.3
2022-07-07,41.6
2022-07-08,59.9
2022-07-09,39.7
2022-07-10,27.7
2022-07-11,40.8
2022-07-12,34.6
2022-07-13,33.9
2022-07-14,37.5
2022-07-15,34.1
2022-07-16,24.9
2022-07-17,36.9
2022-07-18,32.9
2022-07-19,27.4
2022-07-20,30.6
2022-07-21,41.9
2022-07-22,33.3
2022-07-23,33.3
2022-07-24,31.7
2022-07-25,41.3
2022-07-26,27.5
2022-07-27,40.6
2022-07-28,31.1
2022-07-29,28.7
2022-07-30,33.7
2022-07-31,34.9
2022-08-01,26.1
2022-08-02,32.8
2022-08-03,37.0
2022-08-04,33.2
2022-08-05,37.6
2022-08-06,25.4
2022-08-07,41.4
2022-08-08,30.0
2022-08-09,33.3
2022-08-10,33.7
2022-08-11,29.9
2022-08-12,38.2
2022-08-13,37.9
2022-08-14,29.7
2022-08-15,27.8
2022-08-16,34.1
2022-08-17,22.5
2022-08-18,30.0
2022-08-19,29.5
2022-08-20,35.8
2022-08-21,27.7
2022-08-22,36.6
2022-08-23,32.3
2022-08-24,29.0
2022-08-25,35.7
2022-08-26,25.5
2022-08-27,29.1
2022-08-28,26.9
2022-08-29,29.1
2022-08-30,14.4
2022-08-31,26.0
2022-09-01,30.4
2022-09-02,22.8
2022-09-03,23.5
2022-09-04,20.8
2022-09-05,33.2
2022-09-06,29.9
2022-09-07,24.6
2022-09-08,16.4
2022-09-09,16.8
2022-09-10,27.5
2022-09-11,21.8
2022-09-12,28.8
2022-09-13,18.9
2022-09-14,20.7
2022-09-15,28.5
2022-09-16,24.2
2022-09-17,32.2
2022-09-18,20.6
2022-09-19,12.6
2022-09-20,26.0
2022-09-21,19.5
2022-09-22,26.5
2022-09-23,16.6
2022-09-24,19.4
2022-09-25,31.5
2022-09-26,22.2
2022-09-27,30.2
2022-09-28,22.3
2022-09-29,18.6
2022-09-30,21.7
2022-10-01,25.2
2022-10-02,21.1
2022-10-03,20.3
2022-10-04,13.6
2022-10-05,27.4
2022-10-06,24.9
2022-10-07,15.0
2022-10-08,12.6
2022-10-09,21.2
2022-10-10,16.0
2022-10-11,21.1
2022-10-12,20.1
2022-10-13,22.2
2022-10-14,11.3
2022-10-15,19.6
2022-10-16,11.4
2022-10-17,14.2
2022-10-18,15.0
2022-10-19,18.8
2022-10-20,23.1
2022-10-21,15.5
2022-10-22,22.1
2022-10-23,16.1
2022-10-24,5.0
2022-10-25,23.2
2022-10-26,19.3
2022-10-27,16.4
2022-10-28,7.7
2022-10-29,15.8
2022-10-30,11.1
2022-10-31,22.5
2022-11-01,7.7
2022-11-02,24.8
2022-11-03,13.1
2022-11-04,9.8
2022-11-05,5.7
2022-11-06,16.5
2022-11-07,13.6
2022-11-08,14.5
2022-11-09,14.8
2022-11-10,15.7
2022-11-11,8.6
2022-11-12,12.9
2022-11-13,11.8
